flightID,passengerID,seatLocation,speedQueue,speedExiting,hasLuggage,luggageLocation,luggagePickupTime,deplaningGroupNumber
FLIGHT_20260109_143819,ce855ff9-6136-4c5c-9f16-b1b3717ce2a0,7_3,2,2,true,7_3,1,1
FLIGHT_20260109_143819,3ce4378a-3ca1-48c8-bf68-027856359ae5,2_4,2,2,true,2_4,3,1
FLIGHT_20260109_143819,6f6dd01a-b02d-44c7-bd83-e44755c0634a,1_1,1,2,true,1_1,1,1
FLIGHT_20260109_143819,f969455d-2dab-4cc3-815f-cbb55d40e5d4,5_6,1,2,false,,,1
FLIGHT_20260109_143819,7477807c-4a50-4d27-9297-3c42d5439d3f,9_2,2,2,false,,,1
FLIGHT_20260109_143819,0c02dc74-70d4-47fd-879b-e1f70c7aca7f,1_4,2,2,false,,,1
FLIGHT_20260109_143819,3241025d-c84e-4ebc-860b-6451dac7f1cb,8_6,1,2,false,,,1
FLIGHT_20260109_143819,86b6fef6-e5ab-4133-b02d-866d80e4b5bb,1_2,1,2,true,1_2,3,1
FLIGHT_20260109_143819,38021b1b-8692-4cbc-87de-23e94e69b298,3_1,1,2,false,,,1
FLIGHT_20260109_143819,1a120297-5261-4222-ab61-f0f22a2e208e,8_2,2,2,true,8_2,3,1
FLIGHT_20260109_143819,e3949355-808f-4cf9-b680-304712240092,1_5,2,2,false,,,1
FLIGHT_20260109_143819,8171720a-c3f1-4140-9ae8-fdb6605fce69,8_4,1,2,true,8_4,2,1
FLIGHT_20260109_143819,27a422bc-3012-4dd6-8fca-93900363eb67,9_1,2,2,false,,,1
FLIGHT_20260109_143819,a0fd0876-0199-47dd-8312-28abca3e46ec,4_6,1,2,true,4_6,2,1
FLIGHT_20260109_143819,bc67968c-8229-4a3c-96b6-b367b56e418a,6_6,2,2,true,6_6,1,1
FLIGHT_20260109_143819,228bae25-9c85-43bf-9e6a-d734bb435cbe,3_5,2,2,false,,,1
FLIGHT_20260109_143819,faeb75f8-6aeb-4206-9844-72ec011021f5,1_3,1,2,true,1_3,1,1
FLIGHT_20260109_143819,7186a6e3-660a-4768-b786-8cc778b18e61,10_6,2,2,false,,,1
FLIGHT_20260109_143819,af2df4f2-43d7-4292-bf4e-db94aafb55d2,3_3,2,2,true,3_3,3,1
FLIGHT_20260109_143819,fd2f568d-64af-42fa-8f40-9a1ba117a41d,7_6,2,2,true,7_6,3,1
FLIGHT_20260109_143819,f13c9b7f-b4a9-40e1-9504-d74008c446f8,10_3,1,2,false,,,1
